,src,tgt
15,"import random

def lehmann ( n , t ) :
    """"""Write a function that takes two parameters, n and t, and performs the Lehmann primality test.
    The function generates a random number a between 2 and n-1, and calculates the value of a raised to the power of (n-1)/2 modulo n.
    It then checks if the result is equal to 1 or n-1.
    If it is, the function generates a new random number a and repeats the process t times.
    If the result is not equal to 1 or n-1, the function returns -1.
    If all t iterations pass the test, the function returns 1.
    """"""","How to solve:
Step 1. Generate a random number a between 2 and n-1.
Step 2. Calculate the value of a raised to the power of (n-1)/2 modulo n.
Step 3. Check if the result is equal to 1 or n-1.
    -If it is, generate a new random number a and repeat the process t times.
    -If the result is not equal to 1 or n-1, return -1.
Step 4. If all t iterations pass the test, return 1."
16,"def isDefeat ( s1 , s2 , n ) :
    """"""Write a function that takes two strings, s1 and s2, and an integer n.
    The function checks if there is a defeat condition between the two strings.
    A defeat condition is defined as follows: if at any index i, s1[i] is '0' and s2[i] is '1', or s1[i] is '1' and s2[i] is '0', or s1[i] is '0' and s2[i] is 'Z', or s1[i] is 'Z' and s2[i] is '0', then the function returns True.
    If no defeat condition is found after iterating through all indices, the function returns False.
    """"""","How to solve:
Step 1. Iterate through the indices of the strings.
Step 2. Check if any of the defeat conditions are met at each index.
    -If any of the conditions are met, return True.
Step 3. If no defeat condition is found after iterating through all indices, return False."
17,"def sum ( a , b , c , d , x ) :
    """"""Write a function that takes five parameters (a, b, c, d, x) and returns the result of the following equation: (x * (a + b) * (c - d)) / ((a * d) - (b * c)).
    """"""","How to solve:
Step 1. Calculate the numerator of the equation: (x * (a + b) * (c - d)).
Step 2. Calculate the denominator of the equation: ((a * d) - (b * c)).
Step 3. Calculate the result of the equation: numerator / denominator.
Step 4. Return the result."
18,"def minReplacement ( s , length ) :
    """"""Write a function that takes a string and its length as input and returns the minimum number of replacements needed to make the string alternate between '0' and '1' in the most efficient way.
    The function should count the number of positions where the character at an even index is '1' and the character at an odd index is '0', and vice versa.
    The function should then return the minimum of this count and the difference between the length of the string and the count.
    """"""","How to solve:
Step 1. Initialize count as 0.
Step 2. Iterate through the string.
    -If index is even and character is '1', increment count.
    -If index is odd and character is '0', increment count.
Step 3. Return the minimum of count and the difference between length and count."
19,"import math

def powerNumbers ( n ) :
    """"""Write a function that takes an integer n and returns the number of power numbers less than or equal to n.
    A power number is a number that can be expressed as the power of another number.
    """"""","How to solve:
Step 1. Initialize a variable count as 0.
Step 2. Iterate through numbers from 1 to n.
    -For each number, check if it can be expressed as the power of another number.
    -If yes, increment count by 1.
Step 3. Return count."
20,"def product ( x , y ) :
    """"""Write a function that takes two numbers, x and y, and returns their product.
    The function uses recursion to calculate the product by repeatedly adding x to itself y times.
    """"""","How to solve:
Step 1. Define a function named ""product"" that takes two parameters, x and y.
Step 2. Check the base case: if y is equal to 0, return 0.
Step 3. If y is greater than 0, recursively call the ""product"" function with parameters x and y-1, and add x to the result.
Step 4. Return the result."
21,"def decideWinner ( a , n ) :
    """"""Write a function that takes a list of integers and the length of the list as input.
    The function counts the number of integers in the list that are divisible by 4 and assigns the count to variables count0, count1, count2, and count3 based on the remainder of the division by 4.
    If the count of integers divisible by 4 is even for all four possible remainders (0, 1, 2, and 3), the function returns 1.
    Otherwise, it returns 2.
    """"""","How to solve:
Step 1. Initialize count0, count1, count2, and count3 as 0.
Step 2. Iterate through the list of integers.
    -If the integer is divisible by 4 and has a remainder of 0, increment count0 by 1.
    -If the integer is divisible by 4 and has a remainder of 1, increment count1 by 1.
    -If the integer is divisible by 4 and has a remainder of 2, increment count2 by 1.
    -If the integer is divisible by 4 and has a remainder of 3, increment count3 by 1.
Step 3. If count0, count1, count2, and count3 are all even, return 1.
Step 4. Otherwise, return 2."
22,"def lenOfLongIncSubArr ( arr , n ) :
    """"""Write a function that takes an array and its length as input and returns the length of the longest increasing subarray in the given array.
    """"""","How to solve:
Step 1. Initialize max_len and curr_len as 1.
Step 2. Iterate through the array from index 1 to n-1.
    -If arr[i] > arr[i-1], increment curr_len by 1.
    -Else, update max_len if curr_len is greater than max_len and reset curr_len to 1.
Step 3. Return max_len."
23,"def subsetSum ( arr , n , i , sum , count ) :
    """"""Write a function that takes an array of integers, the length of the array, the current index, a target sum, and a count.
    The function recursively calculates the number of subsets of the array that sum up to the target sum.
    The base case is when the current index is equal to the length of the array.
    If the sum is equal to 0, the count is incremented.
    The function then calls itself twice, once subtracting the current element from the sum and once without subtracting.
    Finally, the function returns the count.
    """"""","How to solve:
Step 1. Define a function subsetSum that takes in an array, the length of the array, the current index, a target sum, and a count.
Step 2. Check if the current index is equal to the length of the array. If so, return the count.
Step 3. Check if the sum is equal to 0. If so, increment the count.
Step 4. Call the subsetSum function recursively twice:
    -Once with the current element subtracted from the sum and the current index incremented.
    -Once without subtracting the current element and the current index incremented.
Step 5. Return the count."
24,"def center_hexadecagonal_num ( n ) :
    """"""Write a function that takes an integer n and returns the center hexadecagonal number for that value.
    """"""","How to solve:
Step 1. Calculate the center hexadecagonal number using the formula: (16 * n^2) - (16 * n) + 6.
Step 2. Return the calculated value."
25,"def seriesFunc ( n ) :
    """"""Write a function that takes an integer n and returns the sum of the squares of the first n natural numbers, the sum of the first n natural numbers, and adds 1 to the total sum.
    """"""","How to solve:
Step 1. Initialize variables sum_squares and sum_numbers as 0.
Step 2. Iterate from 1 to n.
    -Add the square of the current number to sum_squares.
    -Add the current number to sum_numbers.
Step 3. Add 1 to the sum of sum_squares and sum_numbers.
Step 4. Return the sum of sum_squares, sum_numbers, and 1."
26,"def maxSumLCM ( n ) :
    """"""Write a function that takes an integer n and returns the maximum sum of all the factors of n.
    """"""","How to solve:
Step 1. Initialize a variable max_sum as 0.
Step 2. Iterate through all numbers i from 1 to n.
    -If n is divisible by i, calculate the sum of all factors of i.
    -If the sum is greater than max_sum, update max_sum.
Step 3. Return max_sum."
27,"def findGreater ( x , y ) :
    """"""Write a function that takes two numbers, x and y, and returns True if x is less than or equal to y, and False otherwise.
    """"""","How to solve:
Step 1. Compare x and y.
Step 2. If x is less than or equal to y, return True.
Step 3. Otherwise, return False."
28,"def center_octadecagon_num ( n ) :
    """"""Write a function that takes an integer n and returns the center octadecagon number.
    The center octadecagon number is calculated using the formula 9 * n * n - 9 * n + 1.
    """"""","How to solve:
Step 1. Calculate the center octadecagon number using the formula 9 * n * n - 9 * n + 1.
Step 2. Return the calculated value."
29,"def percent ( a , b ) :
    """"""Write a function that takes two numbers, a and b, and returns the percentage increase or decrease from a to b.
    """"""","How to solve:
Step 1. Calculate the difference between b and a.
Step 2. Calculate the percentage change by dividing the difference by a and multiplying by 100.
Step 3. Return the percentage change."
30,"def AvgofSquareN ( n ) :
    """"""Write a function that takes an integer n and returns the average of the squares of the first n natural numbers.
    """"""","How to solve:
Step 1. Initialize a variable sum_squares as 0.
Step 2. Iterate from 1 to n.
    -Add the square of each number to sum_squares.
Step 3. Calculate the average by dividing sum_squares by n.
Step 4. Return the average."
31,"def ksmallest ( arr , n , k ) :
    """"""Write a function that takes an array, its length, and an integer k as input.
    The function returns the kth smallest element in the array.
    """"""","How to solve:
Step 1. Sort the array in ascending order.
Step 2. Return the element at index k-1."
32,"def getChicks ( n ) :
    """"""Write a function that takes an integer n as input and returns the number of chicks.
    The number of chicks is calculated by raising 3 to the power of (n-1).
    """"""","How to solve:
Step 1. Calculate the number of chicks by raising 3 to the power of (n-1).
Step 2. Return the calculated number of chicks."
33,"def findTerm ( n ) :
    """"""Write a function that takes an integer n and returns the nth term of a sequence.
    The sequence starts with 1 and each subsequent term is calculated by multiplying the previous term by 2 and adding the difference between the current index and 1.
    """"""","How to solve:
Step 1. Initialize the first term of the sequence as 1.
Step 2. Iterate from 2 to n.
    -Calculate the current term by multiplying the previous term by 2 and adding the difference between the current index and 1.
Step 3. Return the nth term."
34,"def countSubArrayProductLessThanK ( a , k ) :
    """"""Write a function that takes in a list of integers and a target integer, and returns the number of subarrays in the list whose product is less than the target integer.
    """"""","How to solve:
Step 1. Initialize a variable count as 0.
Step 2. Iterate through the list a.
    -Initialize a variable product as 1.
    -Iterate through the subarrays starting from the current element.
        -Multiply each element in the subarray with the product.
        -If the product is less than k, increment count by 1.
Step 3. Return count."
35,"import math

def getOccurence ( n , d ) :
    """"""Write a function that takes two integers, n and d, and returns the number of times the digit d occurs in the numbers from 1 to n (inclusive).
    """"""","How to solve:
Step 1. Initialize a variable count as 0.
Step 2. Iterate through numbers from 1 to n (inclusive).
    -Convert each number to a string.
    -Count the number of occurrences of digit d in the string representation of the number.
    -Add the count to the variable count.
Step 3. Return the value of count."
36,"def findMissingPositive ( arr , n ) :
    """"""Write a function that takes an array of integers and its length as input and returns the smallest positive integer that is missing from the array.
    """"""","How to solve:
Step 1. Iterate through the array and remove all negative and zero values.
Step 2. Create a set of the remaining positive values.
Step 3. Iterate through positive integers starting from 1.
    -If the current integer is not in the set, return it.
Step 4. If all positive integers are present in the set, return the next positive integer after the maximum value in the set."
37,"def ways ( n ) :
    """"""Write a function that takes an integer n and returns the number of ways to climb a staircase with n steps.
    Each time, you can either climb 1 or 2 steps.
    """"""","How to solve:
Step 1. If n is 0 or 1, return 1.
Step 2. If n is 2, return 2.
Step 3. Initialize a list dp with length n+1 and set dp[0] = 1, dp[1] = 1, dp[2] = 2.
Step 4. Iterate from 3 to n.
    -Set dp[i] = dp[i-1] + dp[i-2].
Step 5. Return dp[n]."
38,"def calculateAreaSum ( l , b ) :
    """"""Write a function that takes two parameters, l and b, representing the length and breadth of a rectangle.
    The function calculates the sum of the areas of all the squares that can fit inside the rectangle.
    It starts with a square of size 1 and gradually increases the size until it reaches the maximum size that can fit inside the rectangle.
    The function returns the total area of all the squares.
    """"""","How to solve:
Step 1. Initialize a variable ""total_area"" as 0.
Step 2. Initialize a variable ""side"" as 1.
Step 3. While side <= min(l, b):
    - Calculate the area of the square with side length ""side"".
    - Add the area to ""total_area"".
    - Increment ""side"" by 1.
Step 4. Return ""total_area""."
39,"def count ( N ) :
    """"""Write a function that takes an integer N and returns the sum of all numbers from 1 to N.
    """"""","How to solve:
Step 1. Initialize a variable sum as 0.
Step 2. Iterate from 1 to N.
    -Add each number to sum.
Step 3. Return sum."
40,"def countIterations ( arr , n ) :
    """"""Write a function that takes an array and its length as input and returns the maximum number of consecutive zeros between two ones in the array.
    If there are no ones in the array, the function should return -1.
    """"""","How to solve:
Step 1. Initialize a variable max_zeros as 0 and a variable count as 0.
Step 2. Iterate through the array.
    -If the current element is 0, increment count by 1.
    -If the current element is 1, update max_zeros to be the maximum of max_zeros and count, and reset count to 0.
Step 3. If max_zeros is still 0, return -1. Otherwise, return max_zeros."
41,"def longestSubArray ( arr , n ) :
    """"""Write a function that takes an array and its length as input and returns the length of the longest subarray that contains at least one zero.
    If the array does not contain any zeros, the function should return 0.
    """"""","How to solve:
Step 1. Initialize a variable max_len to 0.
Step 2. Initialize a variable curr_len to 0.
Step 3. Iterate through the array.
    - If the current element is not zero, increment curr_len by 1.
    - If the current element is zero, update max_len to the maximum of max_len and curr_len, and reset curr_len to 0.
Step 4. After the loop, update max_len to the maximum of max_len and curr_len.
Step 5. Return max_len."
42,"def maxOfSegmentMins ( a , n , k ) :
    """"""Write a function that takes an array 'a', its length 'n', and an integer 'k' as input and returns the maximum value of the minimum elements in each segment of size 'k' in the array.
    If 'k' is equal to 1, the function should return the minimum element in the array.
    If 'k' is equal to 2, the function should return the maximum value between the first and last element in the array.
    Otherwise, the function should return the maximum element in the array.
    """"""","How to solve:
Step 1. If k is equal to 1, return the minimum element in the array.
Step 2. If k is equal to 2, return the maximum value between the first and last element in the array.
Step 3. Otherwise, return the maximum element in the array."
43,"def countsubarray ( array , n , k ) :
    """"""Write a function that takes an array, its length, and a number k as input and returns the count of subarrays whose product is less than or equal to k.
    """"""","How to solve:
Step 1. Initialize a variable count as 0.
Step 2. Iterate through the array using two nested loops.
    -In the outer loop, iterate from index i = 0 to n-1.
    -In the inner loop, iterate from index j = i to n-1.
    -In each iteration, calculate the product of subarray from index i to j.
    -If the product is less than or equal to k, increment count by 1.
Step 3. Return the value of count."
44,"def make_permutation ( arr , n ) :
    """"""Write a function that takes an array and an integer as input and returns the sum of absolute differences between each element in the sorted array and its corresponding index plus one.
    """"""","How to solve:
Step 1. Sort the array in ascending order.
Step 2. Initialize a variable ""sum"" as 0.
Step 3. Iterate through the sorted array.
    -Calculate the absolute difference between the element and its corresponding index plus one.
    -Add the absolute difference to the ""sum"".
Step 4. Return the ""sum""."
45,"def getMinCost ( arr , n ) :
    """"""Write a function that takes an array of integers and the length of the array as input.
    The function should find the minimum element in the array and return the product of the minimum element and (n - 1), where n is the length of the array.
    """"""","How to solve:
Step 1. Initialize min_element as the first element of the array.
Step 2. Iterate through the array starting from the second element.
    -If the current element is smaller than min_element, update min_element.
Step 3. Return the product of min_element and (n - 1)."
46,"def maxDistance ( array ) :
    """"""Write a function that takes an array of integers and returns the maximum difference between any two elements in the array, where the difference is calculated by adding or subtracting the index of the element from the element itself.
    """"""","How to solve:
Step 1. Initialize max_diff as 0.
Step 2. Iterate through the array.
    -For each element, calculate the difference by adding or subtracting the index from the element.
    -If the difference is greater than max_diff, update max_diff.
Step 3. Return max_diff."
47,"def pointsAreOnSameSideOfLine ( a , b , c , x1 , y1 , x2 , y2 ) :
    """"""Write a function that takes in six parameters: a, b, c, x1, y1, x2, y2.
    The function checks if two points (x1, y1) and (x2, y2) are on the same side of a line defined by the equation ax + by = c.
    The function returns True if the points are on the same side and False otherwise.
    """"""","How to solve:
Step 1. Calculate the value of the left side of the equation for point (x1, y1) and point (x2, y2).
Step 2. If the values have the same sign, return True. Otherwise, return False."
48,"def countSolutions ( a ) :
    """"""Write a function that takes an integer as input and counts the number of solutions to the equation a = i + (a XOR i), where i ranges from 0 to a (inclusive).
    The function should return the count of solutions.
    """"""","How to solve:
Step 1. Initialize a variable count as 0.
Step 2. Iterate through i from 0 to a (inclusive).
    -Calculate the value of (a XOR i).
    -If a = i + (a XOR i), increment count by 1.
Step 3. Return the value of count."
49,"def maxAND ( L , R ) :
    """"""Write a function that takes two integers, L and R, and returns the maximum value of the bitwise AND operation between L and R.
    """"""","How to solve:
Step 1. Initialize a variable max_val as 0.
Step 2. Iterate through all numbers from L to R (inclusive).
    -For each number, iterate through all numbers from L to R (inclusive) again.
    -Calculate the bitwise AND operation between the two numbers.
    -If the result is greater than max_val, update max_val.
Step 3. Return max_val."
50,"def findSmallest ( a , n ) :
    """"""Write a function that takes an array of integers and its length as input and returns the smallest number in the array that is a factor of all other numbers in the array.
    If there is no such number, the function should return -1.
    """"""","How to solve:
Step 1. Initialize a variable smallest as -1.
Step 2. Iterate through the array.
    -For each number in the array, check if it is a factor of all other numbers.
    -If it is a factor of all other numbers, update smallest to the current number.
Step 3. Return smallest."
51,"def sum ( n ) :
    """"""Write a function that takes an integer n and returns the sum of the series 1/3^n for n terms.
    """"""","How to solve:
Step 1. Initialize sum as 0.
Step 2. Iterate from 0 to n-1.
    -Calculate 1/3^n and add it to sum.
Step 3. Return sum."
52,"def submatrixXor ( arr , n ) :
    """"""Write a function that takes a 2D array `arr` and an integer `n` as input and returns the XOR of all elements in the submatrices of size (i+1) x (j+1) where i and j range from 0 to n-1.
    The XOR operation is performed only on the submatrices where the product of the top left element and the bottom right element is odd.
    """"""","How to solve:
Step 1. Initialize a variable `result` as 0.
Step 2. Iterate through the rows of the 2D array `arr`.
    -Iterate through the columns of each row.
        -Iterate through the submatrices of size (i+1) x (j+1) where i and j range from 0 to n-1.
            -Check if the product of the top left element and the bottom right element is odd.
                -If it is odd, perform XOR operation on all elements in the submatrix and update `result`.
Step 3. Return `result`."
53,"def xorEqualsOrCount ( N ) :
    """"""Write a function that takes an integer N and returns the count of numbers from 0 to N (inclusive) where the bitwise XOR of the number with its own bitwise OR is equal to the number itself.
    """"""","How to solve:
Step 1. Initialize a count variable as 0.
Step 2. Iterate through numbers from 0 to N (inclusive).
    - Calculate the bitwise XOR of the number with its own bitwise OR.
    - If the result is equal to the number itself, increment the count.
Step 3. Return the count."
54,"def isUnique ( a , n , k ) :
    """"""Write a function that takes an array of integers, the length of the array, and an integer k.
    The function should return True if the sum of the array elements plus the length of the array minus 1 is equal to k, and False otherwise.
    """"""","How to solve:
Step 1. Calculate the sum of the array elements.
Step 2. Add the length of the array minus 1 to the sum.
Step 3. Check if the sum is equal to k.
    -If yes, return True.
    -If no, return False."
55,"def onlyFirstAndLastAreSet ( n ) :
    """"""Write a function that takes an integer as input and returns True if only the first and last bits of the binary representation of the integer are set to 1, or False otherwise.
    """"""","How to solve:
Step 1. Convert the integer to binary representation.
Step 2. Check if the first and last bits are set to 1.
    -If yes, return True.
    -If no, return False."
56,"def maxPartition ( s ) :
    """"""Write a function that takes a string as input and returns the maximum number of partitions that can be made such that each partition consists of consecutive identical characters.
    """"""","How to solve:
Step 1. Initialize a variable ""max_partitions"" as 0.
Step 2. Initialize a variable ""current_partition"" as 1.
Step 3. Iterate through the string from index 1 to the end.
    -If the current character is equal to the previous character, increment ""current_partition"" by 1.
    -If the current character is not equal to the previous character, update ""max_partitions"" to the maximum value between ""max_partitions"" and ""current_partition"", and reset ""current_partition"" to 1.
Step 4. Update ""max_partitions"" to the maximum value between ""max_partitions"" and ""current_partition"".
Step 5. Return ""max_partitions""."
57,"def findNum ( N , K ) :
    """"""Write a function that takes two integers, N and K, and returns N if N is divisible by K, otherwise it returns N minus the remainder of N divided by K.
    """"""","How to solve:
Step 1. Check if N is divisible by K.
    -If yes, return N.
    -If no, return N minus the remainder of N divided by K."
58,"def successiveChange ( arr , N ) :
    """"""Write a function that takes an array and an integer N as input and returns the result of a successive change calculation.
    The function initializes a variable ""result"" to 0.
    It then assigns the first element of the array to a variable ""var1"" and the second element to a variable ""var2"".
    The ""result"" variable is updated by adding ""var1"" and ""var2"" and adding the product of ""var1"" and ""var2"" divided by 100.
    

The function then enters a loop that iterates from 2 to N.
    In each iteration, the ""result"" variable is updated by adding the current element of the array and adding the product of ""result"" and the current element divided by 100.
    

Finally, the function returns the final value of the ""result"" variable.
    """"""","How to solve:
Step 1. Initialize a variable ""result"" to 0.
Step 2. Assign the first element of the array to a variable ""var1"" and the second element to a variable ""var2"".
Step 3. Update ""result"" by adding ""var1"" and ""var2"" and adding the product of ""var1"" and ""var2"" divided by 100.
Step 4. Enter a loop that iterates from 2 to N.
    -In each iteration, update ""result"" by adding the current element of the array and adding the product of ""result"" and the current element divided by 100.
Step 5. Return the final value of the ""result"" variable."
59,"def answer ( arr , ranges , reversals , index ) :
    """"""Write a function that takes in four parameters: an array, a list of ranges, the number of reversals, and an index.
    The function returns the value at the given index after performing the specified number of reversals on the array.
    Each reversal involves swapping the elements within a given range.
    """"""","How to solve:
Step 1. Iterate through the list of ranges.
    -For each range, reverse the elements within that range in the array.
Step 2. Repeat step 1 for the specified number of reversals.
Step 3. Return the value at the given index in the array."
60,"def judgeSquareSum ( n ) :
    """"""Write a function that takes an integer as input and returns True if the integer can be expressed as the sum of two squares, and False otherwise.
    """"""","How to solve:
Step 1. Iterate through all possible values of a from 0 to sqrt(n).
    -Calculate b = sqrt(n - a^2).
    -If b is an integer, return True.
Step 2. Return False."
61,"def getCount ( a , b ) :
    """"""Write a function that takes two strings, `a` and `b`, and returns the number of times `a` can be repeated to form `b`.
    If `a` cannot be repeated to form `b`, the function should return -1.
    """"""","How to solve:
Step 1. Initialize a variable `count` as 0.
Step 2. Check if `a` is empty or if the length of `a` is greater than the length of `b`. If either of these conditions is true, return -1.
Step 3. Calculate the maximum number of times `a` can be repeated to form `b` by dividing the length of `b` by the length of `a`.
Step 4. Iterate `count` from 1 to the maximum number of repetitions calculated in step 3.
    - Check if `a` repeated `count` times is equal to `b`. If true, return `count`.
Step 5. If no match is found in step 4, return -1."
62,"def tidyNum ( str , len ) :
    """"""Write a function that takes a string and its length as input and returns a modified string.
    The function iterates through the string from the second-to-last character to the first character.
    If a character is greater than the next character, it subtracts 1 from that character and sets all subsequent characters to 9.
    The modified string is then returned.
    """"""","How to solve:
Step 1. Initialize an empty string called ""modified_str"".
Step 2. Iterate through the string from the second-to-last character to the first character.
    -If the current character is greater than the next character, subtract 1 from the current character and set all subsequent characters to 9.
    -Append the modified character to ""modified_str"".
Step 3. Append the first character of the original string to ""modified_str"".
Step 4. Return ""modified_str""."
